市区町村コード,市区町村名,人口数_人
20215,塩尻市,65205
20217,佐久市,97380
20218,千曲市,58845
20219,東御市,28958
20220,安曇野市,95868
20303,小海町,4196
20304,川上村,3631
20305,南牧村,2977
20306,南相木村,926
20307,北相木村,647
20309,佐久穂町,10179
20321,軽井沢町,21752
20323,御代田町,16770
20324,立科町,6674
20349,青木村,4086
20350,長和町,5514
20361,下諏訪町,18470
20362,富士見町,14107
20363,原村,8090
20382,辰野町,18009
20383,箕輪町,24387
20384,飯島町,8863
20385,南箕輪村,16051
20386,中川村,4620
20388,宮田村,8743
20402,松川町,12445
20403,高森町,12606
20404,阿南町,3931
20407,阿智村,5941
20409,平谷村,377
20410,根羽村,806
20411,下條村,3421
20412,売木村,472
20413,天龍村,1028
20414,泰阜村,1426
20415,喬木村,5888
20416,豊丘村,6501
20417,大鹿村,868
20422,上松町,3930
20423,南木曽町,3674
20425,木祖村,2516
20429,王滝村,640
20430,大桑村,3206
20432,木曽町,9817
20446,麻績村,2412
20448,生坂村,1615
20450,山形村,8486
20451,朝日村,4263
20452,筑北村,3976
20481,池田町,9114
20482,松川村,9648
20485,白馬村,9525
20486,小谷村,2811
20521,坂城町,13872
20541,小布施町,10987
20543,高山村,6413
20561,山ノ内町,11229
20562,木島平村,4237
20563,野沢温泉村,3582
20583,信濃町,7560
20588,小川村,2198
20590,飯綱町,10274
20602,栄村,1560
21201,岐阜市,399127
21202,大垣市,156912
21203,高山市,82486
21204,多治見市,105048
21205,関市,83930
21206,中津川市,73535
21207,美濃市,18991
21208,瑞浪市,35279
21209,羽島市,66517
21210,恵那市,46054
21211,美濃加茂市,57595
21212,土岐市,54243
21213,各務原市,144195
21214,可児市,99779
21215,山県市,24767
21216,瑞穂市,56343
21217,飛騨市,21674
21218,本巣市,32885
21219,郡上市,37728
21220,下呂市,28915
21221,海津市,31505
21302,岐南町,26366
21303,笠松町,21829
21341,養老町,25971
21361,垂井町,25746
21362,関ケ原町,6135
21381,神戸町,18210
21382,輪之内町,9086
21383,安八町,14456
21401,揖斐川町,18633
21403,大野町,21449
21404,池田町,22461
21421,北方町,18568
21501,坂祝町,8264
21502,富加町,5884
21503,川辺町,9761
21504,七宗町,3186
21505,八百津町,9861
21506,白川町,6914
21507,東白川村,2011
21521,御嵩町,17523
21604,白川村,1470
22100,静岡市,672775
22130,浜松市,783924
22203,沼津市,185758
22205,熱海市,33290
22206,三島市,104961
22207,富士宮市,126857
22208,伊東市,64438
22209,島田市,94747
22210,富士市,246491
22211,磐田市,165426
22212,焼津市,135294
22213,掛川市,115126
22214,藤枝市,139870
22215,御殿場市,83487
22216,袋井市,87941
22219,下田市,19282
22220,裾野市,48688
22221,湖西市,57216
22222,伊豆市,27748
22223,御前崎市,29715
22224,菊川市,47179
22225,伊豆の国市,45983
22226,牧之原市,42326
22301,東伊豆町,11093
22302,河津町,6398
22304,南伊豆町,7340
22305,松崎町,5658
22306,西伊豆町,6639
22325,函南町,36105
22341,清水町,31637
22342,長泉町,43705
22344,小山町,16975
22424,吉田町,28964
22429,川根本町,5700
22461,森町,16968
23100,名古屋市,2303004
23201,豊橋市,366089
23202,岡崎市,382656
23203,一宮市,376861
23204,瀬戸市,126274
23205,半田市,116209
23206,春日井市,305902
23207,豊川市,185900
23208,津島市,59566
23209,碧南市,72242
23210,刈谷市,152984
23211,豊田市,414750
23212,安城市,187665
23213,西尾市,169528
23214,蒲郡市,77535
23215,犬山市,71334
23216,常滑市,58662
23217,江南市,98124
23219,小牧市,149025
23220,稲沢市,132879
23221,新城市,42375
23222,東海市,113352
23223,大府市,93014
23224,知多市,83017
23225,知立市,72646
23226,尾張旭市,83782
23227,高浜市,49041
23228,岩倉市,47761
23229,豊明市,67902
23230,日進市,94207
23231,田原市,58270
23232,愛西市,60457
23233,清須市,68707
23234,北名古屋市,85843
23235,弥富市,43534
23236,みよし市,61408
23237,あま市,88393
23238,長久手市,61512
23302,東郷町,43928
23342,豊山町,15984
23361,大口町,24004
23362,扶桑町,35043
23424,大治町,33566
23425,蟹江町,36824
23427,飛島村,4713
23441,阿久比町,28083
23442,東浦町,50029
23445,南知多町,15506
23446,美浜町,20560
23447,武豊町,43399
23501,幸田町,42023
23561,設楽町,4051
23562,東栄町,2703
23563,豊根村,929
24201,津市,268388
24202,四日市市,306378
24203,伊勢市,118849
24204,松阪市,156026
24205,桑名市,137978
24207,鈴鹿市,194451
24208,名張市,74229
24209,尾鷲市,15524
24210,亀山市,49130
24211,鳥羽市,16424
24212,熊野市,14981
24214,いなべ市,44507
24215,志摩市,44110
24216,伊賀市,84603
24303,木曽岬町,5875
24324,東員町,25737
24341,菰野町,40758
24343,朝日町,11107
24344,川越町,15745
24441,多気町,13637
24442,明和町,22630
24443,大台町,8204
24461,玉城町,15035
24470,度会町,7556
24471,大紀町,7227
24472,南伊勢町,10489
24543,紀北町,13759
24561,御浜町,7809
24562,紀宝町,10120
25201,大津市,343600
25202,彦根市,110878
25203,長浜市,112294
25204,近江八幡市,81942
25206,草津市,140515
25207,守山市,85881
25208,栗東市,70412
25209,甲賀市,87729
25210,野洲市,50607
25211,湖南市,54065
25212,高島市,45190
25213,東近江市,111349
25214,米原市,36928
25383,日野町,20702
25384,竜王町,11239
25425,愛荘町,21042
25441,豊郷町,7117
25442,甲良町,6410
25443,多賀町,7346
26100,京都市,1373887
26201,福知山市,74540
26202,舞鶴市,75322
26203,綾部市,31072
26204,宇治市,179582
26205,宮津市,15966
26206,亀岡市,86209
26207,城陽市,73321
26208,向日市,56186
26209,長岡京市,82218
26210,八幡市,68598
26211,京田辺市,72011
26212,京丹後市,50042
26213,南丹市,29531
26214,木津川市,79339
26303,大山崎町,16633
26322,久御山町,15231
26343,井手町,6958
26344,宇治田原町,8688
26364,笠置町,1066
26365,和束町,3377
26366,精華町,36210
26367,南山城村,2379
26407,京丹波町,12384
26463,伊根町,1861
26465,与謝野町,19402
27100,大阪市,2778917
27140,堺市,811993
27202,岸和田市,186596
27203,豊中市,405955
27204,池田市,102636
27205,吹田市,384506
27206,泉大津市,72762
27207,高槻市,345589
27208,貝塚市,81420
27209,守口市,140923
27210,枚方市,392328
27211,茨木市,286042
27212,八尾市,259158
27213,泉佐野市,99318
27214,富田林市,105715
27215,寝屋川市,224378
27216,河内長野市,97912
27217,松原市,116259
27218,大東市,115687
27219,和泉市,182481
27220,箕面市,139527
27221,柏原市,66500
27222,羽曳野市,107406
27223,門真市,116179
27224,摂津市,86344
27225,高石市,55968
27226,藤井寺市,62304
27227,東大阪市,477700
27228,泉南市,58145
27229,四條畷市,53749
27230,交野市,77191
27231,大阪狭山市,57746
27232,阪南市,50080
27301,島本町,32247
27321,豊能町,17804
27322,能勢町,8940
27341,忠岡町,16317
27361,熊取町,42544
27362,田尻町,8484
27366,岬町,14295
27381,太子町,12673
27382,河南町,14556
27383,千早赤阪村,4687
28100,神戸市,1493543
28201,姫路市,523181
28202,尼崎市,457508
28203,明石市,307235
28204,西宮市,480818
28205,洲本市,40767
28206,芦屋市,94007
28207,伊丹市,200284
28208,相生市,27058
28209,豊岡市,75177
28210,加古川市,257203
28212,赤穂市,44179
28213,西脇市,37688
28214,宝塚市,227645
28215,三木市,73091
28216,高砂市,86511
28217,川西市,152914
28218,小野市,46825
28219,三田市,106482
28220,加西市,41455
28221,丹波篠山市,39095
28222,養父市,21005
28223,丹波市,60033
28224,南あわじ市,43732
28225,朝来市,27754
28226,淡路市,41364
28227,宍粟市,33749
28228,加東市,39413
28229,たつの市,72271
28301,猪名川町,28644
28365,多可町,18605
28381,稲美町,30491
28382,播磨町,34687
28442,市川町,10660
28443,福崎町,18573
28446,神河町,10144
28464,太子町,33414
28481,上郡町,13543
28501,佐用町,14727
28585,香美町,15303
28586,新温泉町,12829
29201,奈良市,347187
29202,大和高田市,61818
29203,大和郡山市,82598
29204,天理市,60686
29205,橿原市,118556
29206,桜井市,54272
29207,五條市,26900
29208,御所市,23144
29209,生駒市,116553
29210,香芝市,78324
29211,葛城市,37794
29212,宇陀市,26694
29322,山添村,3055
29342,平群町,18142
29343,三郷町,22349
29344,斑鳩町,28036
29345,安堵町,6975
29361,川西町,7986
29362,三宅町,6422
29363,田原本町,31379
29385,曽爾村,1270
29386,御杖村,1347
29401,高取町,6045
29402,明日香村,5049
29424,上牧町,21157
29425,王寺町,23694
29426,広陵町,35020
29427,河合町,16614
29441,吉野町,5834
29442,大淀町,15797
29443,下市町,4405
29444,黒滝村,589
29446,天川村,1194
29447,野迫川村,322
29449,十津川村,2757
29450,下北山村,796
29451,上北山村,421
29452,川上村,1188
29453,東吉野村,1498
30201,和歌山市,352941
30202,海南市,46492
30203,橋本市,58792
30204,有田市,25230
30205,御坊市,21074
30206,田辺市,67316
30207,新宮市,25822
30208,紀の川市,58920
30209,岩出市,53900
30304,紀美野町,7711
30341,かつらぎ町,15299
30343,九度山町,3760
30344,高野町,2605
30361,湯浅町,10731
30362,広川町,6403
30366,有田川町,24954
30381,美浜町,6324
30382,日高町,7953
30383,由良町,5035
30390,印南町,7636
